test_id,language,category,config_index,message_index,input_length,encrypt_time_us,decrypt_time_us,chars_processed,chars_per_sec,success,failure_detail
1,la,same_char,1,1,24,218.1,170,44,113373,1,
2,la,same_char,1,2,91,256.2,219.1,111,233537,1,
3,la,same_char,1,3,140,326.5,283.1,160,262467,1,
4,la,same_char,1,4,48,220.5,209.2,68,158250,1,
5,la,same_char,1,5,106,370,238,126,207237,1,
6,la,same_char,2,1,107,269.2,235.1,127,251834,1,
7,la,same_char,2,2,146,319.4,293.1,166,271020,1,
8,la,same_char,2,3,89,272.2,219.2,109,221815,1,
9,la,same_char,2,4,153,346.8,298.2,173,268217,1,
10,la,same_char,2,5,113,284.4,249.8,133,248970,1,
11,la,same_char,3,1,45,218.3,213.8,65,150428,1,
12,la,same_char,3,2,121,364.5,338.7,141,200512,1,
13,la,same_char,3,3,102,273.4,234.2,122,240347,1,
14,la,same_char,3,4,158,335.7,300.1,178,279962,1,
15,la,same_char,3,5,115,300.5,254.2,135,243375,1,
16,la,same_char,4,1,118,435,500.9,138,147452,1,
17,la,same_char,4,2,21,192,154.8,41,118224,1,
18,la,same_char,4,3,145,319.1,283,165,274041,1,
19,la,same_char,4,4,187,412,347.2,207,272655,1,
20,la,same_char,4,5,91,254.8,219.3,111,234128,1,
21,la,same_char,5,1,64,465.6,411.7,84,95748.3,1,
22,la,same_char,5,2,198,824.3,726.1,218,140609,1,
23,la,same_char,5,3,130,328.2,274.6,150,248839,1,
24,la,same_char,5,4,200,485,363.5,220,259281,1,
25,la,same_char,5,5,79,311.7,220.6,99,185985,1,
26,la,alternating,1,1,64,235.2,200.9,84,192616,1,
27,la,alternating,1,2,156,335.7,297.9,176,277778,1,
28,la,alternating,1,3,123,286.8,248.8,143,266990,1,
29,la,alternating,1,4,121,283.6,294.8,141,243776,1,
30,la,alternating,1,5,22,194.7,246.2,42,95259.7,1,
31,la,alternating,2,1,137,405.6,337.2,157,211362,1,
32,la,alternating,2,2,50,223.4,186.3,70,170857,1,
33,la,alternating,2,3,62,346.6,223.3,82,143885,1,
34,la,alternating,2,4,102,401.5,234.7,122,191764,1,
35,la,alternating,2,5,164,354.4,315.3,184,274750,1,
36,la,alternating,3,1,127,315.9,308.6,147,235388,1,
37,la,alternating,3,2,33,212.9,201.2,53,127988,1,
38,la,alternating,3,3,218,482.2,380.5,238,275878,1,
39,la,alternating,3,4,64,245.8,201.9,84,187626,1,
40,la,alternating,3,5,154,337.4,298.4,174,273671,1,
41,la,alternating,4,1,88,254.4,218.8,108,228233,1,
42,la,alternating,4,2,125,302,265.8,145,255372,1,
43,la,alternating,4,3,124,282.7,338.6,144,231772,1,
44,la,alternating,4,4,214,435,379.6,234,287258,1,
45,la,alternating,4,5,207,416.1,363.7,227,291100,1,
46,la,alternating,5,1,107,265.8,245.4,127,248435,1,
47,la,alternating,5,2,159,350.4,342.4,179,258372,1,
48,la,alternating,5,3,207,401.8,361.9,227,297237,1,
49,la,alternating,5,4,42,221.6,192.2,62,149831,1,
50,la,alternating,5,5,139,318.8,292.8,159,259974,1,
51,la,cyclic,1,1,170,354.3,313.9,190,284346,1,
52,la,cyclic,1,2,217,419.3,377.6,237,297402,1,
53,la,cyclic,1,3,33,201.2,170.6,53,142550,1,
54,la,cyclic,1,4,77,251.5,219.1,97,206120,1,
55,la,cyclic,1,5,52,216.3,302.1,72,138889,1,
56,la,cyclic,2,1,50,222.6,187.2,70,170815,1,
57,la,cyclic,2,2,100,267.7,233.4,120,239473,1,
58,la,cyclic,2,3,210,419.1,378.2,230,288474,1,
59,la,cyclic,2,4,45,218.3,185.6,65,160931,1,
60,la,cyclic,2,5,98,268.8,232.8,118,235247,1,
61,la,cyclic,3,1,116,284.2,262.3,136,248856,1,
62,la,cyclic,3,2,143,334.4,282.8,163,264096,1,
63,la,cyclic,3,3,169,362,317.6,189,278105,1,
64,la,cyclic,3,4,58,217.6,185.9,78,193309,1,
65,la,cyclic,3,5,105,266.8,233.2,125,250000,1,
66,la,cyclic,4,1,32,202.7,171.1,52,139112,1,
67,la,cyclic,4,2,214,418.5,386.8,234,290575,1,
68,la,cyclic,4,3,133,394.2,316.9,153,215160,1,
69,la,cyclic,4,4,74,236.3,201.6,94,214661,1,
70,la,cyclic,4,5,91,270.7,218.1,111,227087,1,
71,la,cyclic,5,1,179,369.1,340.8,199,280321,1,
72,la,cyclic,5,2,176,368.7,328.8,196,281004,1,
73,la,cyclic,5,3,77,249.7,216.4,97,208110,1,
74,la,cyclic,5,4,81,249.7,216.2,101,216785,1,
75,la,cyclic,5,5,181,374.7,329.8,201,285309,1,
76,la,jumbled,1,1,215,511.9,441.9,277,290417,1,
77,la,jumbled,1,2,216,482.2,427.5,275,302297,1,
78,la,jumbled,1,3,36,203.2,169.5,63,169037,1,
79,la,jumbled,1,4,179,490.3,379.9,232,266605,1,
80,la,jumbled,1,5,206,455.7,409.7,261,301595,1,
81,la,jumbled,2,1,39,221.5,188.5,66,160976,1,
82,la,jumbled,2,2,99,284.5,288.7,138,240754,1,
83,la,jumbled,2,3,98,289.9,250.4,133,246160,1,
84,la,jumbled,2,4,186,438.8,465.7,246,271973,1,
85,la,jumbled,2,5,95,285.1,249.5,132,246914,1,
86,la,jumbled,3,1,187,439.7,394.5,247,296092,1,
87,la,jumbled,3,2,25,202.7,172,49,130771,1,
88,la,jumbled,3,3,25,204.6,182.8,52,134228,1,
89,la,jumbled,3,4,156,369.2,341.6,201,282780,1,
90,la,jumbled,3,5,102,284.2,312.3,144,241408,1,
91,la,jumbled,4,1,78,270.1,219.1,111,226901,1,
92,la,jumbled,4,2,35,202.6,170.5,60,160815,1,
93,la,jumbled,4,3,194,446.7,409.3,252,294393,1,
94,la,jumbled,4,4,83,282.3,234.1,119,230442,1,
95,la,jumbled,4,5,204,464.4,412.2,256,292037,1,
